,No,SO2,NO2,CO,O3,PRES,RAIN,wd,WSPM,AQI Label
0,1,6.0,28.0,400.0,51.57765859115214,1023.0,0.0,NNW,4.4,Severely Polluted
1,2,6.0,28.0,400.0,50.4038506968227,1023.2,0.0,N,4.7,Severely Polluted
2,3,-1.0,19.0,400.0,54.92332115753549,1023.5,0.0,NNW,5.6,Severely Polluted
3,4,8.0,14.0,-1.0,-1.0,1024.5,0.0,NW,3.1,Excellent
4,5,9.0,-1.0,300.0,54.29660753236026,1025.2,0.0,N,2.0,Heavily Polluted
5,6,8.0,17.0,300.0,53.785193542822896,1025.6,0.0,N,3.7,Heavily Polluted
6,7,10.0,21.0,300.0,51.571196925632,1026.5,0.0,NNE,2.5,Heavily Polluted
7,8,11.0,26.0,300.0,47.15583903548065,1027.4,0.0,NNW,3.8,Heavily Polluted
8,9,14.0,39.0,400.0,36.18390492886074,1028.3,0.0,NNW,4.1,Severely Polluted
9,10,12.0,31.0,400.0,45.74065961878419,1028.5,0.0,N,2.6,Severely Polluted
10,11,12.0,30.0,400.0,49.49208436745692,1028.2,0.0,NNW,3.6,Severely Polluted
11,12,10.0,26.0,300.0,54.40554104051649,1028.2,0.0,N,3.7,Heavily Polluted
12,13,11.0,22.0,300.0,57.44153331392524,1027.3,0.0,NNW,5.1,Heavily Polluted
13,14,10.0,20.0,300.0,60.303467856460195,1026.2,0.0,NW,4.3,Heavily Polluted
14,15,10.0,22.0,300.0,60.25104861878752,1025.9,0.0,NW,4.4,Heavily Polluted
15,16,9.0,22.0,300.0,61.285492233346034,1025.7,0.0,NNE,2.8,Heavily Polluted
16,17,10.0,25.0,300.0,58.96606761449459,1025.6,0.0,NNW,3.9,Heavily Polluted
17,18,10.0,26.0,300.0,58.46594513859724,1026.3,0.0,NNE,2.8,Heavily Polluted
18,19,12.0,32.0,400.0,49.05010997807622,1027.4,0.0,NNE,2.1,Severely Polluted
19,20,13.0,53.0,600.0,29.920362705618388,1028.3,0.0,N,2.8,Severely Polluted
20,21,14.0,55.0,500.0,27.74775765899043,1029.1,0.0,N,2.1,Severely Polluted
21,22,16.0,57.0,600.0,25.331226533634602,1030.1,0.0,ENE,0.8,Severely Polluted
22,23,17.0,71.0,700.0,7.7873348582623265,1030.5,0.0,ENE,1.8,Severely Polluted
23,24,30.0,62.0,600.0,22.309519369221405,1030.5,0.0,ENE,1.4,Severely Polluted
24,25,20.0,61.0,600.0,24.380088323418306,1031.0,0.0,ENE,1.4,Severely Polluted
25,26,16.0,52.0,500.0,34.19671930535993,1031.3,0.0,NNE,1.1,Severely Polluted
26,27,16.0,52.0,400.0,31.935774952034834,1030.9,0.0,E,1.7,Severely Polluted
27,28,16.0,53.0,400.0,29.988256276406016,1030.6,0.0,NNE,1.4,Severely Polluted
28,29,12.0,53.0,400.0,30.965196675522904,1030.8,0.0,NNW,0.9,Severely Polluted
29,30,26.0,66.0,500.0,15.465498840547864,1030.1,0.0,NNE,2.0,Severely Polluted
30,31,26.0,71.0,600.0,8.204606255797874,1029.6,0.0,NW,0.7,Severely Polluted
31,32,46.0,72.0,600.0,9.548045976105701,1029.8,0.0,NE,1.2,Severely Polluted
32,33,40.0,68.0,600.0,14.518219947101082,1029.6,0.0,NE,1.8,Severely Polluted
33,34,28.0,66.0,600.0,18.896811276362314,1029.7,0.0,NE,1.7,Severely Polluted
34,35,31.0,72.0,600.0,13.807792797958726,1028.9,0.0,W,1.6,Severely Polluted
35,36,23.0,74.0,700.0,11.689143990159964,1028.2,0.0,SSW,3.1,Severely Polluted
36,37,24.0,73.0,800.0,17.095741008229357,1027.3,0.0,WSW,2.7,Severely Polluted
37,38,28.0,68.0,700.0,25.341921176954198,1025.7,0.0,W,1.5,Severely Polluted
38,39,23.0,63.0,700.0,30.517583405805404,1024.8,0.0,SE,1.3,Severely Polluted
39,40,24.0,65.0,800.0,32.667416741922324,1024.1,0.0,WNW,1.2,Severely Polluted
40,41,32.0,73.0,1100.0,27.029120583820607,1023.6,0.0,WSW,2.5,Severely Polluted
41,42,41.0,80.0,1100.0,21.465350468476217,1023.4,0.0,SSE,0.4,Severely Polluted
42,43,49.0,85.0,1100.0,15.148514776343667,1023.2,0.0,W,0.9,Severely Polluted
43,44,51.0,94.0,1200.0,3.445726204702413,1022.9,0.0,NE,1.2,Severely Polluted
44,45,55.0,101.0,1500.0,2.4600782031711277,1022.9,0.0,NNE,1.2,Severely Polluted
45,46,68.0,103.0,2200.0,2.2007666867438225,1022.6,0.0,NE,1.3,Severely Polluted
46,47,65.0,104.0,2000.0,2.1397161776894515,1022.3,0.0,NNE,1.4,Severely Polluted
47,48,62.0,100.0,2100.0,2.3041244827393292,1021.1,0.0,N,1.3,Severely Polluted
48,49,69.0,98.0,2799.0,1.90874562492459,1020.4,0.0,NNE,1.2,Severely Polluted
49,50,78.0,97.0,3000.0,2.3488502410348393,1019.4,0.0,NE,1.2,Severely Polluted
50,51,72.0,94.0,2899.0,2.0779252840361537,1018.3,0.0,NE,1.4,Severely Polluted
51,52,55.0,88.0,2799.0,1.6254898664735427,1017.2,0.0,NE,1.2,Severely Polluted
52,53,54.0,88.0,2500.0,1.7032688535007945,1016.9,0.0,NNE,0.9,Severely Polluted
53,54,48.0,89.0,2299.0,2.4035000973846334,1016.3,0.0,N,0.8,Severely Polluted
54,55,50.0,86.0,2899.0,2.202515043231948,1016.2,0.0,NNE,0.8,Severely Polluted
55,56,45.0,83.0,3799.0,1.5988550641747965,1016.5,0.0,NE,1.5,Severely Polluted
56,57,51.0,82.0,4400.0,2.355219305562733,1016.2,0.0,NNE,2.3,Severely Polluted
57,58,97.0,89.0,3299.0,2.006883198526644,1015.8,0.0,NNE,0.4,Severely Polluted
58,59,90.0,94.0,2600.0,1.562062492306762,1014.9,0.0,N,1.3,Severely Polluted
59,60,78.0,98.0,2399.0,1.9446339759919753,1013.8,0.0,ESE,0.9,Severely Polluted
60,61,79.0,109.0,2500.0,2.2395688739042687,1012.5,0.0,W,1.1,Severely Polluted
61,62,60.0,102.0,1899.0,11.330345743574503,1011.5,0.0,W,5.9,Severely Polluted
62,63,25.0,67.0,900.0,39.718747043157826,1010.8,0.0,WNW,4.3,Severely Polluted
63,64,15.0,49.0,600.0,52.98978659576764,1010.5,0.0,WNW,2.0,Severely Polluted
64,65,22.0,61.0,700.0,43.502445040423865,1010.6,0.0,NW,2.9,Severely Polluted
65,66,21.0,67.0,700.0,41.854540677196304,1011.1,0.0,WSW,1.7,Severely Polluted
66,67,28.0,77.0,900.0,30.312034680560334,1012.3,0.0,NW,1.6,Severely Polluted
67,68,69.0,131.0,1899.0,2.20901628377425,1013.4,0.0,NNW,2.0,Severely Polluted
68,69,39.0,97.0,1300.0,10.834091188222283,1013.5,0.0,N,0.9,Severely Polluted
69,70,17.0,69.0,700.0,23.64763675864486,1013.6,0.0,N,0.0,Severely Polluted
70,71,18.0,83.0,900.0,5.171704341865805,1014.1,0.0,NNE,1.8,Severely Polluted
71,72,25.0,89.0,1100.0,1.9569985569780455,1014.8,0.0,NNW,1.7,Severely Polluted
72,73,45.0,90.0,2399.0,1.9035190387123206,1015.7,0.0,N,2.6,Severely Polluted
73,74,49.0,89.0,2299.0,1.975066325933784,1016.7,0.0,N,2.8,Severely Polluted
74,75,24.0,67.0,800.0,15.14947755550736,1016.7,0.0,N,4.3,Severely Polluted
75,76,17.0,50.0,600.0,34.95396806299929,1016.9,0.0,N,2.8,Severely Polluted
76,77,20.0,40.0,500.0,40.275020272531144,1018.0,0.0,NNW,1.0,Severely Polluted
77,78,22.0,43.0,500.0,32.96122743672319,1018.6,0.0,SSE,0.5,Severely Polluted
78,79,24.0,52.0,500.0,24.13505329317669,1018.9,0.0,N,2.3,Severely Polluted
79,80,28.0,68.0,800.0,4.790193281472633,1019.7,0.0,N,2.3,Severely Polluted
80,81,36.0,74.0,1000.0,1.6098662031669915,1020.7,0.0,NE,3.1,Severely Polluted
81,82,40.0,66.0,900.0,15.789390897148174,1020.8,0.0,NNE,1.3,Severely Polluted
82,83,23.0,49.0,600.0,38.25107709855485,1020.4,0.0,NE,2.1,Severely Polluted
83,84,19.0,47.0,500.0,43.676224173486005,1020.0,0.0,NE,3.0,Severely Polluted
84,85,17.0,44.0,500.0,50.360692159814036,1018.9,0.0,N,2.7,Severely Polluted
85,86,12.0,41.0,400.0,57.90276638485731,1017.8,0.0,S,2.0,Severely Polluted
86,87,11.0,43.0,400.0,60.46723599629549,1017.0,0.0,SW,0.7,Severely Polluted
87,88,15.0,53.0,500.0,51.68279202881746,1016.3,0.0,SSW,2.4,Severely Polluted
88,89,18.0,61.0,600.0,56.110127498290524,1015.7,0.0,S,2.6,Severely Polluted
